date,amount,description,transaction_type,source
2025-10-28,-19.06,SQ *SIPRA KEBAB AND GRILL WEST PERTH,expense,ANZ
2025-10-27,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-10-27,-0.5,SEON & JEONG (WA)         VICTORIA PARK,expense,ANZ
2025-10-27,-56.81,SEON & JEONG (WA)         VICTORIA PARK,expense,ANZ
2025-10-23,-259.6,TRANSPORT WA PERTH        PERTH,expense,ANZ
2025-10-22,-6.4,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-10-22,-1.49,APPLE.COM/BILL            SYDNEY,expense,ANZ
2025-10-21,-102.28,UBER *EATS HELP.UBER.COM  SYDNEY,expense,ANZ
2025-10-20,-62.12,WWW.CHERRY* CHERRY AND    WEST PERTH,expense,ANZ
2025-10-20,-3.68,EASYPARK                  PRAHRAN,expense,ANZ
2025-10-20,-89.06,PHO THANH DAT PTY LTD     NORTHBRIDGE,expense,ANZ
2025-10-20,-30.0,LET'S EAT                 WEST PERTH,expense,ANZ
2025-10-17,-41.9,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-10-16,-21.99,DOMINOS ESTORE WEST PERTH DOMINOS.COM.A,expense,ANZ
2025-10-15,-29.9,MCDONALDS JOLIMONT        JOLIMONT,expense,ANZ
2025-10-15,-164.4,PREGO CAFE RESTAURAN      FLOREAT,expense,ANZ
2025-10-14,-16.81,SQ *SIPRA KEBAB AND GRILL WEST PERTH,expense,ANZ
2025-10-14,-8.02,CHAFFIC FORREST CHASE     PERTH,expense,ANZ
2025-10-14,-7.4,BENTLEY IGA               BENTLEY,expense,ANZ
2025-10-13,2000.0,PAYMENT - THANKYOU,income,ANZ
2025-10-13,-40.19,BACETTO PIZZA             BENTLEY,expense,ANZ
2025-10-13,-80.22,LS DE BHATTI RESTAURAN    MOUNT LAWLEY,expense,ANZ
2025-10-13,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-10-13,-50.0,EDWARDOROKEBYFLORIST      SUBIACO,expense,ANZ
